ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9342348,HW486028,10/02/2013 11:00:00 AM,026XX W 63RD ST,0820,THEFT,$500 AND UNDER,NURSING HOME/RETIREMENT HOME,false,false,0825,008,15,66,06,1159824,1862818,2013,10/11/2013 12:42:52 AM,41.77928149298078,-87.68961725459073,"(41.77928149298078, -87.68961725459073)"
9318691,HW462858,09/19/2013 05:30:00 PM,008XX W 129TH PL,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0523,005,34,53,08A,1173003,1818858,2013,10/01/2013 12:41:12 AM,41.65836808552826,-87.64259469301554,"(41.65836808552826, -87.64259469301554)"
9296843,HW441904,09/07/2013 07:00:00 AM,070XX N WOLCOTT AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,2424,024,49,1,26,1162271,1947301,2013,09/12/2013 12:43:14 AM,42.011058949017496,-87.67828155951737,"(42.011058949017496, -87.67828155951737)"
9279952,HW424766,08/26/2013 04:22:00 PM,001XX E 120TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0532,005,9,53,18,1179218,1825463,2013,09/01/2013 12:40:23 AM,41.676354303873524,-87.61965251788614,"(41.676354303873524, -87.61965251788614)"
9264355,HW408923,08/15/2013 01:00:00 PM,024XX N LINCOLN AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,true,false,1935,019,43,7,26,1170174,1916568,2013,08/18/2013 12:42:09 AM,41.92655712535703,-87.65010514586207,"(41.92655712535703, -87.65010514586207)"
9247603,HW393578,08/04/2013 10:00:00 AM,053XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0923,009,14,63,14,1158663,1868848,2013,08/07/2013 12:42:29 AM,41.795852420823984,-87.693709172187,"(41.795852420823984, -87.693709172187)"
9231351,HW377343,07/24/2013 11:00:00 AM,087XX S EAST END AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0412,004,8,48,06,1189067,1847597,2013,07/27/2013 12:40:34 AM,41.73686299777013,-87.58289712799703,"(41.73686299777013, -87.58289712799703)"
9214373,HW360794,07/13/2013 01:52:00 PM,041XX W LAWRENCE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1722,017,39,14,03,1147889,1931537,2013,07/27/2013 12:40:34 AM,41.968091350421346,-87.73160661515774,"(41.968091350421346, -87.73160661515774)"
9232422,HW378485,07/02/2013 10:00:00 AM,027XX N MOODY AVE,0890,THEFT,FROM BUILDING,VACANT LOT/LAND,false,false,2512,025,29,19,06,1134976,1917495,2013,08/01/2013 12:41:01 AM,41.929797683260986,-87.77942122392052,"(41.929797683260986, -87.77942122392052)"
9185026,HW328414,06/21/2013 04:40:00 AM,117XX S HALSTED ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,false,false,0524,005,34,53,11,1173145,1826795,2013,06/24/2013 12:38:59 AM,41.6801454126591,-87.64184203674111,"(41.6801454126591, -87.64184203674111)"
9166958,HW312436,06/10/2013 08:00:00 AM,057XX S CICERO AVE,0820,THEFT,$500 AND UNDER,AIRPORT PARKING LOT,false,false,0813,008,23,56,06,1145610,1866346,2013,06/12/2013 12:42:00 AM,41.789243073784405,-87.74163897884421,"(41.789243073784405, -87.74163897884421)"
9150499,HW296304,05/30/2013 12:02:00 AM,106XX S AVENUE O,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0432,004,10,52,18,1200830,1834679,2013,06/02/2013 12:40:29 AM,41.7011254361627,-87.54023811058632,"(41.7011254361627, -87.54023811058632)"
9135479,HW280379,05/18/2013 02:20:00 PM,011XX W WAVELAND AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,1923,019,44,6,26,1168307,1924694,2013,05/21/2013 12:41:47 AM,41.948895864218755,-87.65672981428442,"(41.948895864218755, -87.65672981428442)"
9119513,HW264570,05/07/2013 02:45:00 PM,024XX W OHIO ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1221,012,26,24,06,1159856,1903969,2013,05/10/2013 12:42:14 AM,41.89220383707847,-87.68836716038193,"(41.89220383707847, -87.68836716038193)"
9104237,HW248373,04/26/2013 09:10:00 AM,002XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1225,012,2,28,18,1160480,1898975,2013,04/28/2013 12:40:49 AM,41.87848696814018,-87.6862137792508,"(41.87848696814018, -87.6862137792508)"
9087767,HW232683,04/14/2013 02:00:00 AM,048XX W WALTON ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1531,015,37,25,06,1143716,1905827,2013,04/17/2013 12:41:27 AM,41.897620022653065,-87.74759646851564,"(41.897620022653065, -87.74759646851564)"
9149713,HW295392,04/02/2013 10:00:00 AM,029XX N MAJOR AVE,0890,THEFT,FROM BUILDING,VACANT LOT/LAND,false,false,2514,025,30,19,06,1137830,1918881,2013,06/01/2013 12:41:23 AM,41.933549942635764,-87.76889984320846,"(41.933549942635764, -87.76889984320846)"
9055601,HW200442,03/20/2013 08:10:00 PM,037XX W CHICAGO AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,1112,011,27,23,26,1150944,1905034,2013,03/23/2013 12:41:24 AM,41.895305468322015,-87.72106941426492,"(41.895305468322015, -87.72106941426492)"
9038059,HW184028,03/08/2013 01:30:00 PM,031XX W GRAND AVE,0460,BATTERY,SIMPLE,"SCHOOL, PRIVATE, BUILDING",false,false,1211,012,26,23,08B,1155450,1905895,2013,03/11/2013 12:42:19 AM,41.897578702229964,-87.70449673327039,"(41.897578702229964, -87.70449673327039)"
9020648,HW168256,02/23/2013 09:25:00 AM,071XX S RIDGELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0324,003,5,43,14,1189062,1858049,2013,03/07/2013 12:44:07 AM,41.7655443634436,-87.58258131465958,"(41.7655443634436, -87.58258131465958)"
9003885,HW151233,02/10/2013 08:00:00 AM,019XX N LA CROSSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2533,025,31,19,14,1143698,1912789,2013,02/12/2013 12:42:09 AM,41.916724847736646,-87.74748793857579,"(41.916724847736646, -87.74748793857579)"
8988456,HW135917,01/28/2013 03:00:00 PM,028XX N PULASKI RD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2523,025,31,21,03,1149200,1918347,2013,02/07/2013 12:41:54 AM,41.931871590279016,-87.72712915160301,"(41.931871590279016, -87.72712915160301)"
8970991,HW118845,01/15/2013 09:55:00 PM,074XX S PAXTON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,0333,,7,43,26,,,2013,01/26/2013 12:39:36 AM,,,
8957787,HW107273,01/02/2013 02:30:00 AM,080XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0612,006,21,71,14,,,2013,01/30/2013 12:40:28 AM,,,
8937850,HV609553,12/19/2012 09:30:00 AM,0000X S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,0112,001,42,32,11,1176422,1900355,2012,12/23/2012 12:41:46 AM,41.881929007770445,-87.6276369271367,"(41.881929007770445, -87.6276369271367)"
8920808,HV592639,12/07/2012 10:30:00 AM,0000X W ADAMS ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0112,001,42,32,06,1176232,1899490,2012,12/09/2012 12:40:47 AM,41.87955968328273,-87.62836068737653,"(41.87955968328273, -87.62836068737653)"
9018121,HW165098,11/26/2012 12:01:00 AM,020XX W 79TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0611,006,18,71,11,1164366,1852305,2012,02/24/2013 12:41:37 AM,41.750337856054685,-87.67326149896094,"(41.750337856054685, -87.67326149896094)"
8887660,HV561869,11/14/2012 09:32:00 AM,051XX W NEWPORT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1634,016,38,15,26,1141636,1922415,2012,12/23/2012 12:41:46 AM,41.943177973995574,-87.75482516172092,"(41.943177973995574, -87.75482516172092)"
8872171,HV545456,11/02/2012 03:45:00 PM,046XX S COTTAGE GROVE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CURRENCY EXCHANGE,false,false,0221,002,4,38,10,1182337,1874270,2012,11/06/2012 12:41:15 AM,41.81021465902122,-87.60672784555994,"(41.81021465902122, -87.60672784555994)"
8855937,HV529602,10/22/2012 01:30:00 PM,078XX S CORNELL AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,0414,004,8,43,07,1188635,1853414,2012,10/25/2012 12:41:06 AM,41.75283572852257,-87.5842943059208,"(41.75283572852257, -87.5842943059208)"
